combination_size,combination,baseline_onset_occurrences,mean_h0_h1_when_present_pp,mean_h0_h1_when_absent_pp,present_minus_absent_pp,months_present,status
2,CAD+NZD,7,-3.8245626903962737,1.27994337331159,-5.104506063707864,1989-05;1990-08;1995-07;1998-09;2008-10;2015-07;2020-03,descriptive_only_sparse_baseline_composition
2,NOK+NZD,6,-2.0968180715505724,-0.43905371299752943,-1.657764358553043,1988-05;1988-12;1989-05;1990-08;2008-10;2020-03,descriptive_only_sparse_baseline_composition
2,AUD+NOK,5,-2.9086488580128496,-0.1989147556216952,-2.7097341023911543,1988-12;1990-08;2008-10;2011-12;2020-03,descriptive_only_sparse_baseline_composition
2,AUD+NZD,5,-3.268966905166976,-0.018755732044631924,-3.2502111731223438,1988-12;1990-08;2008-10;2016-08;2020-03,descriptive_only_sparse_baseline_composition
2,AUD+CAD,4,-5.333875488146416,0.43664637330040557,-5.770521861446821,1990-08;1996-07;2008-10;2020-03,descriptive_only_sparse_baseline_composition
2,AUD+GBP,4,-4.2772098933228655,0.05240433881911478,-4.329614232141981,2001-02;2008-10;2016-08;2020-03,descriptive_only_sparse_baseline_composition
2,CAD+NOK,4,-5.645413462858071,0.5499329095591895,-6.195346372417261,1989-05;1990-08;2008-10;2020-03,descriptive_only_sparse_baseline_composition
2,GBP+NZD,4,-2.7892196574963775,-0.4886830196632445,-2.300536637833133,1988-05;2008-10;2016-08;2020-03,descriptive_only_sparse_baseline_composition
2,AUD+SEK,3,-4.524263616640052,-0.24663341636342015,-4.277630200276632,1996-07;2008-10;2011-12,descriptive_only_sparse_baseline_composition
2,CAD+CHF,3,-3.1654304595306293,-0.586341705640776,-2.5790887538898533,1995-07;2008-10;2024-06,descriptive_only_sparse_baseline_composition
2,CAD+SEK,3,-6.826269934638847,0.32886816313627865,-7.155138097775126,1996-07;2008-10;2015-07,descriptive_only_sparse_baseline_composition
2,EUR+NOK,3,-3.967713915278804,-0.38577084170373216,-3.581943073575072,2002-12;2008-10;2011-12,descriptive_only_sparse_baseline_composition
2,EUR+SEK,3,-3.967713915278804,-0.38577084170373216,-3.581943073575072,2002-12;2008-10;2011-12,descriptive_only_sparse_baseline_composition
2,GBP+NOK,3,-3.9716815093765945,-0.38477894317928474,-3.5869025661973097,1988-05;2008-10;2020-03,descriptive_only_sparse_baseline_composition
2,NOK+SEK,3,-3.967713915278804,-0.38577084170373216,-3.581943073575072,2002-12;2008-10;2011-12,descriptive_only_sparse_baseline_composition
2,AUD+EUR,2,-6.043512240191706,-0.34195133583829124,-5.701560904353415,2008-10;2011-12,descriptive_only_sparse_baseline_composition
2,AUD+JPY,2,-6.672365647272592,-0.24520465782584727,-6.427160989446745,2001-02;2008-10,descriptive_only_sparse_baseline_composition
2,CAD+EUR,2,-8.863033383378509,0.09182114772890927,-8.954854531107419,2008-10;2024-06,descriptive_only_sparse_baseline_composition
2,CAD+GBP,2,-9.584527395594435,0.20282022653135928,-9.787347622125795,2008-10;2020-03,descriptive_only_sparse_baseline_composition
2,CAD+JPY,2,-11.360289081861803,0.4760143321109544,-11.836303413972757,1998-09;2008-10,descriptive_only_sparse_baseline_composition
2,CHF+EUR,2,-8.863033383378509,0.09182114772890927,-8.954854531107419,2008-10;2024-06,descriptive_only_sparse_baseline_composition
2,CHF+NZD,2,-3.2085026130665932,-0.7781066630883087,-2.4303959499782843,1995-07;2008-10,descriptive_only_sparse_baseline_composition
2,GBP+JPY,2,-6.672365647272592,-0.24520465782584727,-6.427160989446745,2001-02;2008-10,descriptive_only_sparse_baseline_composition
2,JPY+NZD,2,-11.360289081861803,0.4760143321109544,-11.836303413972757,1998-09;2008-10,descriptive_only_sparse_baseline_composition
2,NZD+SEK,2,-9.4965217171899,0.18928089139219997,-9.6858026085821,2008-10;2015-07,descriptive_only_sparse_baseline_composition
2,AUD+CHF,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,CHF+GBP,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,CHF+JPY,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,CHF+NOK,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,CHF+SEK,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,EUR+GBP,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,EUR+JPY,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,EUR+NZD,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,GBP+SEK,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,JPY+NOK,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
2,JPY+SEK,1,-14.646780614298319,-0.13468651657020572,-14.512094097728113,2008-10,descriptive_only_sparse_baseline_composition
3,AUD+NOK+NZD,4,-4.275750105994788,0.051873507063450355,-4.327623613058239,1988-12;1990-08;2008-10;2020-03,descriptive_only_sparse_baseline_composition
3,CAD+NOK+NZD,4,-5.645413462858071,0.5499329095591895,-6.195346372417261,1989-05;1990-08;2008-10;2020-03,descriptive_only_sparse_baseline_composition
3,AUD+CAD+NOK,3,-6.6165785276829725,0.27644531139730977,-6.893023839080282,1990-08;2008-10;2020-03,descriptive_only_sparse_baseline_composition
3,AUD+CAD+NZD,3,-6.6165785276829725,0.27644531139730977,-6.893023839080282,1990-08;2008-10;2020-03,descriptive_only_sparse_baseline_composition
3,AUD+GBP+NZD,3,-6.136962964348199,0.15654142056361642,-6.293504384911816,2008-10;2016-08;2020-03,descriptive_only_sparse_baseline_composition
3,EUR+NOK+SEK,3,-3.967713915278804,-0.38577084170373216,-3.581943073575072,2002-12;2008-10;2011-12,descriptive_only_sparse_baseline_composition
3,GBP+NOK+NZD,3,-3.9716815093765945,-0.38477894317928474,-3.5869025661973097,1988-05;2008-10;2020-03,descriptive_only_sparse_baseline_composition
3,AUD+CAD+GBP,2,-9.584527395594435,0.20282022653135928,-9.787347622125795,2008-10;2020-03,descriptive_only_sparse_baseline_composition
3,AUD+CAD+SEK,2,-8.066273491917531,-0.030757297111241207,-8.03551619480629,1996-07;2008-10,descriptive_only_sparse_baseline_composition
3,AUD+EUR+NOK,2,-6.043512240191706,-0.34195133583829124,-5.701560904353415,2008-10;2011-12,descriptive_only_sparse_baseline_composition
3,AUD+EUR+SEK,2,-6.043512240191706,-0.34195133583829124,-5.701560904353415,2008-10;2011-12,descriptive_only_sparse_baseline_composition
3,AUD+GBP+JPY,2,-6.672365647272592,-0.24520465782584727,-6.427160989446745,2001-02;2008-10,descriptive_only_sparse_baseline_composition
3,AUD+GBP+NOK,2,-9.584527395594435,0.20282022653135928,-9.787347622125795,2008-10;2020-03,descriptive_only_sparse_baseline_composition
