sensitivity,estimate,p_randomization,event_count,rotation_reference_count_including_observed,unit
cut_count_threshold_3,-1.1021594564187465,0.19501133786848074,15,441,"percentage points cumulative, months 0--1"
cut_count_threshold_2,-1.2387310655958552,0.059907834101382486,22,434,"percentage points cumulative, months 0--1"
cut_count_threshold_4,-0.4573164696680374,0.634703196347032,18,438,"percentage points cumulative, months 0--1"
leave_event_currency_AUD,-0.5000773674264207,0.5558086560364465,17,439,"percentage points cumulative, months 0--1"
leave_event_currency_CAD,0.3575220635214789,0.5616438356164384,18,438,"percentage points cumulative, months 0--1"
leave_event_currency_CHF,-1.2080763046702956,0.14965986394557823,15,441,"percentage points cumulative, months 0--1"
leave_event_currency_EUR,-0.9973584296961362,0.21363636363636362,16,440,"percentage points cumulative, months 0--1"
leave_event_currency_GBP,-0.8135365582626018,0.3211009174311927,20,436,"percentage points cumulative, months 0--1"
leave_event_currency_JPY,-0.26964531765937744,0.7871853546910755,19,437,"percentage points cumulative, months 0--1"
leave_event_currency_NOK,-1.6462162585678468,0.06320541760722348,13,443,"percentage points cumulative, months 0--1"
leave_event_currency_NZD,-0.5340239812483343,0.5804988662131519,15,441,"percentage points cumulative, months 0--1"
leave_event_currency_SEK,-0.46978351083207903,0.6059225512528473,17,439,"percentage points cumulative, months 0--1"
