month,currency,long_series_id,short_series_id,fresh_entry,live,steepening_counter,released,eligible,inverted,observed
1988-01,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1988-02,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1988-03,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1988-04,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1988-05,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1988-06,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,True,True
1988-07,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,True,True,0,False,False,True,True
1988-08,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1988-09,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1988-10,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1988-11,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1988-12,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,1,False,False,True,True
1989-01,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1989-02,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1989-03,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1989-04,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1989-05,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,1,False,False,True,True
1989-06,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1989-07,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,1,False,False,True,True
1989-08,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1989-09,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,1,False,False,True,True
1989-10,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1989-11,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1989-12,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,1,False,False,True,True
1990-01,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,True,False,True,True
1990-02,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,False,True,True
1990-03,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,False,True,True
1990-04,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,False,True,True
1990-05,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,False,True,True
1990-06,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,False,True,True
1990-07,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,False,True,True
1990-08,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,False,True,True
1990-09,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1990-10,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1990-11,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,True,True
1990-12,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,True,True,0,False,False,True,True
1991-01,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1991-02,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,1,False,False,True,True
1991-03,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1991-04,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,0,False,False,True,True
1991-05,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,True,1,False,False,False,True
1991-06,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,True,True,False,True
1991-07,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1991-08,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1991-09,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1991-10,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1991-11,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1991-12,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-01,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-02,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-03,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-04,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-05,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-06,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-07,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-08,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-09,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-10,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-11,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1992-12,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-01,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-02,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-03,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-04,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-05,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-06,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-07,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-08,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-09,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-10,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-11,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1993-12,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-01,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-02,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-03,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-04,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-05,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-06,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-07,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-08,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-09,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-10,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-11,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1994-12,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-01,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-02,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-03,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-04,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-05,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-06,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-07,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-08,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-09,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-10,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-11,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
1995-12,AUD,IRLTLT01AUM156N,IR3TIB01AUM156N,False,False,0,False,True,False,True
