month,observed_curves,current_inversions,live_inversions,fresh_entries,state,state_type,threshold,release_months,next_month_shadow_carry_spot_pct,episode_onset,episode_id
1988-01,7,2,0,0,False,live,2,2,0.7695293831257352,False,
1988-02,7,2,0,0,False,live,2,2,-1.3884126570703295,False,
1988-03,7,2,0,0,False,live,2,2,2.8785145955844804,False,
1988-04,7,2,0,0,False,live,2,2,4.462341005365756,False,
1988-05,7,2,0,0,False,live,2,2,2.7916692576933286,False,
1988-06,7,3,0,0,False,live,2,2,0.08482499837887375,False,
1988-07,7,4,1,1,False,live,2,2,-1.0110106774844787,False,
1988-08,7,4,2,1,True,live,2,2,-1.40640450310357,True,1.0
1988-09,7,5,2,0,True,live,2,2,-2.290403038972602,False,1.0
1988-10,7,5,3,1,True,live,2,2,1.7779675472333907,False,1.0
1988-11,7,5,3,0,True,live,2,2,-0.5455916267669432,False,1.0
1988-12,7,5,3,0,True,live,2,2,3.292326785836707,False,1.0
1989-01,7,5,3,0,True,live,2,2,-4.615793942978117,False,1.0
1989-02,7,6,3,0,True,live,2,2,3.268738573381148,False,1.0
1989-03,7,6,4,1,True,live,2,2,-1.0342900715777426,False,1.0
1989-04,7,6,3,0,True,live,2,2,-1.0646588199294063,False,1.0
1989-05,7,6,3,0,True,live,2,2,-1.7349605998955686,False,1.0
1989-06,7,7,3,0,True,live,2,2,-1.2048244929158387,False,1.0
1989-07,7,7,4,1,True,live,2,2,3.554741015378652,False,1.0
1989-08,7,7,4,0,True,live,2,2,-2.149026415224629,False,1.0
1989-09,7,7,4,0,True,live,2,2,-0.29374505941771323,False,1.0
1989-10,7,7,3,0,True,live,2,2,-0.6768148275952854,False,1.0
1989-11,7,6,3,0,True,live,2,2,-0.4993562777218731,False,1.0
1989-12,7,6,2,0,True,live,2,2,-0.48114381669013284,False,1.0
1990-01,7,6,0,0,False,live,2,2,-0.15039055600098628,False,
1990-02,7,6,0,0,False,live,2,2,1.9587608932666227,False,
1990-03,7,6,1,1,False,live,2,2,-0.8060236795041058,False,
1990-04,7,6,1,0,False,live,2,2,-0.9844995669903562,False,
1990-05,7,5,0,0,False,live,2,2,2.1944978710864604,False,
1990-06,7,5,0,0,False,live,2,2,-1.652371478391339,False,
1990-07,7,5,0,0,False,live,2,2,0.22878213803050595,False,
1990-08,7,5,0,0,False,live,2,2,-0.9094629298905542,False,
1990-09,7,4,0,0,False,live,2,2,-3.965007865646871,False,
1990-10,7,5,0,0,False,live,2,2,0.10970479964390054,False,
1990-11,7,6,1,1,False,live,2,2,0.19348717676209903,False,
1990-12,7,7,2,1,True,live,2,2,-0.21083846175865473,True,2.0
1991-01,7,7,2,1,True,live,2,2,1.0107211527527,False,2.0
1991-02,7,7,2,0,True,live,2,2,0.09150717554115317,False,2.0
1991-03,7,7,2,0,True,live,2,2,-1.1516746751136029,False,2.0
1991-04,7,7,2,0,True,live,2,2,-0.6489014581999649,False,2.0
1991-05,7,5,2,0,True,live,2,2,0.03597762842685703,False,2.0
1991-06,7,5,0,0,False,live,2,2,0.9517259165836733,False,
1991-07,7,3,0,0,False,live,2,2,-0.24993326566481824,False,
1991-08,7,4,0,0,False,live,2,2,0.3731248234519309,False,
1991-09,7,4,1,1,False,live,2,2,0.023779062941514717,False,
1991-10,7,4,1,0,False,live,2,2,1.2497438075270428,False,
1991-11,7,4,1,0,False,live,2,2,4.1175724896666495,False,
1991-12,7,4,1,0,False,live,2,2,-3.35463005089325,False,
1992-01,7,4,1,0,False,live,2,2,0.5411274543492737,False,
1992-02,7,4,0,0,False,live,2,2,0.5000519288457295,False,
1992-03,7,4,0,0,False,live,2,2,1.5385480004709131,False,
1992-04,7,4,0,0,False,live,2,2,2.1848155904307207,False,
1992-05,7,4,0,0,False,live,2,2,4.383021701064954,False,
1992-06,7,4,0,0,False,live,2,2,2.1715154499742515,False,
1992-07,7,4,0,0,False,live,2,2,4.444406397317761,False,
1992-08,7,4,0,0,False,live,2,2,-4.796797182072092,False,
1992-09,7,4,0,0,False,live,2,2,-8.631610008487915,False,
1992-10,7,3,0,0,False,live,2,2,-5.632301970021321,False,
1992-11,7,3,0,0,False,live,2,2,-2.416324917418019,False,
1992-12,7,4,0,0,False,live,2,2,0.6674408383263091,False,
1993-01,7,3,1,1,False,live,2,2,-4.664910766140631,False,
1993-02,7,2,2,1,True,live,2,2,-0.4790504576104044,True,3.0
1993-03,7,3,1,0,False,live,2,2,0.7926075070746441,False,
1993-04,7,3,2,1,True,live,2,2,-0.15402267035416278,True,4.0
1993-05,7,2,2,0,True,live,2,2,-3.054256380960718,False,4.0
1993-06,7,2,0,0,False,live,2,2,-4.229451421676685,False,
1993-07,7,1,0,0,False,live,2,2,1.5403718609667938,False,
1993-08,7,1,0,0,False,live,2,2,1.9349585874630275,False,
1993-09,7,2,0,0,False,live,2,2,-0.648250287091401,False,
1993-10,7,2,1,1,False,live,2,2,-0.9213467184896388,False,
1993-11,7,1,1,0,False,live,2,2,1.407688253623468,False,
1993-12,7,1,1,0,False,live,2,2,0.9451072665495422,False,
1994-01,7,2,1,0,False,live,2,2,-1.6907151748210631,False,
1994-02,7,1,1,1,False,live,2,2,-0.24365758331597043,False,
1994-03,7,0,1,0,False,live,2,2,0.3800659230818694,False,
1994-04,7,0,0,0,False,live,2,2,-0.006378116833703651,False,
1994-05,7,0,0,0,False,live,2,2,-1.6388759518655636,False,
1994-06,7,0,0,0,False,live,2,2,0.1766109392343299,False,
1994-07,7,0,0,0,False,live,2,2,-0.17230244753899393,False,
1994-08,7,0,0,0,False,live,2,2,-1.3358008023172698,False,
1994-09,7,0,0,0,False,live,2,2,0.7284580247500617,False,
1994-10,7,0,0,0,False,live,2,2,3.888336701546868,False,
