specification,state_type,breadth_threshold,release_months,return_lag_months,carry_leg_count,active_months,inactive_months,episodes,annualized_active_minus_inactive_pp,p_circular_raw,baseline_like,common_calendar_start,common_calendar_end,common_calendar_months,p_maxT_family,estimate_rank_of_64_low_to_high
live_b1_r1_lag1_leg2,live,1,1,1,2,116,338,36,-7.009124217747061,0.07488986784140969,False,1988-01,2025-10,454,0.7555066079295154,5
live_b1_r2_lag1_leg2,live,1,2,1,2,200,254,25,-4.948036546989698,0.16299559471365638,False,1988-01,2025-10,454,0.9581497797356828,11
live_b1_r3_lag1_leg2,live,1,3,1,2,272,182,16,-2.763163708310211,0.3964757709251101,False,1988-01,2025-10,454,1.0,25
live_b2_r1_lag1_leg2,live,2,1,1,2,35,419,15,4.765314028770472,0.46255506607929514,False,1988-01,2025-10,454,1.0,57
live_b2_r2_lag1_leg2,live,2,2,1,2,99,355,18,-5.811456968201827,0.19383259911894274,False,1988-01,2025-10,454,0.9669603524229075,8
live_b2_r3_lag1_leg2,live,2,3,1,2,158,296,18,-4.876359273684626,0.18061674008810572,False,1988-01,2025-10,454,0.9559471365638766,12
live_b3_r1_lag1_leg2,live,3,1,1,2,13,441,5,2.736795277960474,0.8414096916299559,False,1988-01,2025-10,454,1.0,55
live_b3_r2_lag1_leg2,live,3,2,1,2,39,415,9,0.6368761152750855,0.9691629955947136,False,1988-01,2025-10,454,1.0,44
live_b3_r3_lag1_leg2,live,3,3,1,2,72,382,11,1.4621082157450562,0.8986784140969163,False,1988-01,2025-10,454,1.0,50
live_b4_r1_lag1_leg2,live,4,1,1,2,4,450,3,9.468415278368516,0.5550660792951542,False,1988-01,2025-10,454,1.0,63
live_b4_r2_lag1_leg2,live,4,2,1,2,16,438,6,-3.0934946296637453,0.6563876651982379,False,1988-01,2025-10,454,1.0,23
live_b4_r3_lag1_leg2,live,4,3,1,2,32,422,7,-0.6577926753080475,0.8678414096916299,False,1988-01,2025-10,454,1.0,37
live_b1_r1_lag1_leg3,live,1,1,1,3,116,338,36,-3.579919686325477,0.2599118942731278,False,1988-01,2025-10,454,0.9933920704845814,20
live_b1_r2_lag1_leg3,live,1,2,1,3,200,254,25,-4.345901351514147,0.12334801762114538,False,1988-01,2025-10,454,0.9008810572687225,16
live_b1_r3_lag1_leg3,live,1,3,1,3,272,182,16,-2.574373509971163,0.31277533039647576,False,1988-01,2025-10,454,1.0,28
live_b2_r1_lag1_leg3,live,2,1,1,3,35,419,15,6.654575003970888,0.16299559471365638,False,1988-01,2025-10,454,0.9713656387665198,61
live_b2_r2_lag1_leg3,live,2,2,1,3,99,355,18,-3.2016208872633465,0.33480176211453744,True,1988-01,2025-10,454,1.0,22
live_b2_r3_lag1_leg3,live,2,3,1,3,158,296,18,-2.8975594205978767,0.2907488986784141,False,1988-01,2025-10,454,0.9977973568281938,24
live_b3_r1_lag1_leg3,live,3,1,1,3,13,441,5,6.956095818725151,0.3436123348017621,False,1988-01,2025-10,454,1.0,62
live_b3_r2_lag1_leg3,live,3,2,1,3,39,415,9,0.8527588487225655,0.8722466960352423,False,1988-01,2025-10,454,1.0,46
live_b3_r3_lag1_leg3,live,3,3,1,3,72,382,11,1.8405790875691908,0.6651982378854625,False,1988-01,2025-10,454,1.0,51
live_b4_r1_lag1_leg3,live,4,1,1,3,4,450,3,12.488653932187862,0.30837004405286345,False,1988-01,2025-10,454,1.0,64
live_b4_r2_lag1_leg3,live,4,2,1,3,16,438,6,2.7193654979879085,0.6828193832599119,False,1988-01,2025-10,454,1.0,54
live_b4_r3_lag1_leg3,live,4,3,1,3,32,422,7,1.283749723730601,0.775330396475771,False,1988-01,2025-10,454,1.0,49
live_b1_r1_lag2_leg2,live,1,1,2,2,116,338,36,1.2562912777321096,0.7444933920704846,False,1988-01,2025-10,454,1.0,48
live_b1_r2_lag2_leg2,live,1,2,2,2,200,254,25,-4.381709594406158,0.21145374449339208,False,1988-01,2025-10,454,0.9889867841409692,15
live_b1_r3_lag2_leg2,live,1,3,2,2,272,182,16,-2.7266363833120106,0.4008810572687225,False,1988-01,2025-10,454,1.0,26
live_b2_r1_lag2_leg2,live,2,1,2,2,35,419,15,-2.0674446869287073,0.6828193832599119,False,1988-01,2025-10,454,1.0,31
live_b2_r2_lag2_leg2,live,2,2,2,2,99,355,18,-0.6549610558509469,0.8502202643171806,False,1988-01,2025-10,454,1.0,38
live_b2_r3_lag2_leg2,live,2,3,2,2,158,296,18,-2.171366329071739,0.4933920704845815,False,1988-01,2025-10,454,1.0,30
live_b3_r1_lag2_leg2,live,3,1,2,2,13,441,5,6.226421504608274,0.5110132158590308,False,1988-01,2025-10,454,1.0,59
live_b3_r2_lag2_leg2,live,3,2,2,2,39,415,9,-2.0193616972443866,0.6519823788546255,False,1988-01,2025-10,454,1.0,32
live_b3_r3_lag2_leg2,live,3,3,2,2,72,382,11,4.92519326965391,0.22026431718061673,False,1988-01,2025-10,454,0.9977973568281938,58
live_b4_r1_lag2_leg2,live,4,1,2,2,4,450,3,2.235348867198952,0.9911894273127754,False,1988-01,2025-10,454,1.0,53
live_b4_r2_lag2_leg2,live,4,2,2,2,16,438,6,-4.161438674522208,0.5330396475770925,False,1988-01,2025-10,454,1.0,17
live_b4_r3_lag2_leg2,live,4,3,2,2,32,422,7,0.7774673406416377,0.920704845814978,False,1988-01,2025-10,454,1.0,45
live_b1_r1_lag2_leg3,live,1,1,2,3,116,338,36,1.131667033864678,0.7312775330396476,False,1988-01,2025-10,454,1.0,47
live_b1_r2_lag2_leg3,live,1,2,2,3,200,254,25,-3.867794488706873,0.17180616740088106,False,1988-01,2025-10,454,0.9559471365638766,18
live_b1_r3_lag2_leg3,live,1,3,2,3,272,182,16,-2.6273076488465397,0.29955947136563876,False,1988-01,2025-10,454,1.0,27
live_b2_r1_lag2_leg3,live,2,1,2,3,35,419,15,-0.855869783920313,0.8237885462555066,False,1988-01,2025-10,454,1.0,34
live_b2_r2_lag2_leg3,live,2,2,2,3,99,355,18,-0.4264952514811837,0.8942731277533039,False,1988-01,2025-10,454,1.0,39
live_b2_r3_lag2_leg3,live,2,3,2,3,158,296,18,-1.312331169562213,0.6211453744493393,False,1988-01,2025-10,454,1.0,33
live_b3_r1_lag2_leg3,live,3,1,2,3,13,441,5,6.3615521305900815,0.3876651982378855,False,1988-01,2025-10,454,1.0,60
live_b3_r2_lag2_leg3,live,3,2,2,3,39,415,9,-0.7564682587882035,0.8634361233480177,False,1988-01,2025-10,454,1.0,35
live_b3_r3_lag2_leg3,live,3,3,2,3,72,382,11,3.165955180797517,0.3832599118942731,False,1988-01,2025-10,454,1.0,56
live_b4_r1_lag2_leg3,live,4,1,2,3,4,450,3,2.1136719751366098,0.9162995594713657,False,1988-01,2025-10,454,1.0,52
live_b4_r2_lag2_leg3,live,4,2,2,3,16,438,6,-0.30723963458434156,0.9559471365638766,False,1988-01,2025-10,454,1.0,40
live_b4_r3_lag2_leg3,live,4,3,2,3,32,422,7,0.12664220068700843,0.9779735682819384,False,1988-01,2025-10,454,1.0,42
raw_b1_r0_lag1_leg2,raw,1,0,1,2,326,128,16,-2.174947821802454,0.5330396475770925,False,1988-01,2025-10,454,1.0,29
raw_b2_r0_lag1_leg2,raw,2,0,1,2,219,235,15,-7.326791883873507,0.00881057268722467,False,1988-01,2025-10,454,0.2555066079295154,4
